date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
6/1/2020,"21 BROOKFIELD, DONEGAL",,Donegal,190000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"21 LISHEEN ROW, MALLOW, CORK",,Cork,135000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"22 Bollarney Woods, Bollarney North, Wicklow",,Wicklow,313403.45,Yes,Yes,New Dwelling house /Apartment
6/1/2020,"22 ORIEL HEIGHTS, COLLON, LOUTH",,Louth,161000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"220 Kylemore, Schoolhouse Road, Castletroy",,Limerick,289867.83,No,Yes,New Dwelling house /Apartment
6/1/2020,"23 ST MICHAELS TERRACE, BLACKPITTS, CIRCULAR RD SOUTH DUBLIN 8",Dublin 8,Dublin,435000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"24 DEVINE CRESCENT, EDGEWORTHSTOWN, LONGFORD",,Longford,70000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"25 KILCARAGH LAWN, LIXNAW, KERRY",,Kerry,158500,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"25 The Willows, Ballinahinch Wood, Ashford",,Wicklow,339207.05,No,Yes,New Dwelling house /Apartment
6/1/2020,"26 BROOKWAY, TIVOLI RD, CLONMEL",,Tipperary,160000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"26 HOLLYBANK WAY, CLONGOWEN, KILKENNY",,Kilkenny,250000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"26 SCARBH LEATHAN, GREENANE, KANTURK",,Cork,155000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"28 Ardilaun Court, Sybil Hill Road, Raheny",,Dublin,506607.93,No,Yes,New Dwelling house /Apartment
6/1/2020,"29 COLLEGE DR, TERENURE, DUBLIN CITY",,Dublin,535000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"3 CUL NA TOINNE, BUNBEG, GWEEDORE",,Donegal,80000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"3 Dun Eimear Avenue, Bettystown, Co. Meath",,Meath,237885,No,Yes,New Dwelling house /Apartment
6/1/2020,"3 FARNOGUE PARK, WEXFORD",,Wexford,247500,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"3 FINISK, RIVER VALLEY, SPA GLEN",,Cork,135000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"31 THE VILLAGE, BETTYSTOWN, MEATH",,Meath,170000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"32 BEWLEY STREET, NEW ROSS, COUNTY WEXFORD",,Wexford,45000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"33 HARDIMAN RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,356250,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"34 FR BYRNE PARK, GRAIGUECULLEN, CARLOW",,Carlow,150000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"36 WINDMILL RD, DROGHEDA, LOUTH",,Louth,175000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"38 BISHOPS GATE, ENNISKERRY ROAD, KILTERNAN",Dublin 18,Dublin,485000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"39 RIVERWOOD GARDENS, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,500000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"4 Bracken Court, Old Tramore Road",,Waterford,203275,No,Yes,New Dwelling house /Apartment
6/1/2020,"4 OAKTREE RD, STILLORGAN, DUBLIN",,Dublin,612500,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"40 O'GROWNEY DRIVE, MULLINGAR, CO. WESTMEATH",,Westmeath,153000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"42 CYPRESS GROVE, KILKENNY",,Kilkenny,102000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"48 WHEATFIELD GROVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,267500,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"5 Knightsgate Avenue, Rush",,Dublin,325991.18,No,Yes,New Dwelling house /Apartment
6/1/2020,"50 CHORD ROAD, DROGHEDA, COUNTY LOUTH",,Louth,82000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"53 GLEANN NA RI, DRUID VALLEY, CABINTEELY",Dublin 18,Dublin,390000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"53 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,525000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"6 Burgage Lane, Station Road, Lusk",,Dublin,295154.85,No,Yes,New Dwelling house /Apartment
6/1/2020,"7 BARRACK CLOSE, DUNDALK, LOUTH",,Louth,139000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"7 BURTON HOUSE, MAYOR SQ, LOWER MAYOR ST DUBLIN 1",Dublin 1,Dublin,30000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"72 KNOCKMAREE, ST LAURENCES RD, CHAPELIZOD DUBLIN 20",Dublin 20,Dublin,269000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"76 RATHMORE TCE, RICHMOND HILL, CORK",,Cork,195000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"8 BOYCETOWN COURT, KILCOCK, KILDARE",,Kildare,350000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"85 An Fuaran, Oranmore",,Galway,334809.8,No,Yes,New Dwelling house /Apartment
6/1/2020,"88 Bishops Gate, Kilternan",Dublin 18,Dublin,519823,No,Yes,New Dwelling house /Apartment
6/1/2020,"APT 12, CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE ROAD",,Limerick,75000,No,No,Second-Hand Dwelling house /Apartment
